time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.000000,0.042267,0.030069,1.000000,1.000000,0.000000,0.648047,0.000000,0.042256,1.000000,1.000000,0.000000,0.000000,0.172660,0.160636,1.000000,0.000000,0.223902,0.897449,1.000000,0.505128,0.206327,0.000000,0.000000,0.000000,0.711076,0.002101,0.032395,1.000000,0.169120,1.000000,0.784537,0.000000,0.000000,0.018004,0.852563,1.000000,0.000000,1.000000,1.000000,1.000000,0.305106,0.000000,0.000000,1.000000,0.000000,0.239199,0.000000,0.158723,1.000000,0.000000,0.000000,0.000000,0.183270,0.174743,1.000000,0.000401,0.000000,0.968168,1.000000,0.604779,0.488447,0.000000,1.000000,0.257074,0.051045,0.021627,0.045079,1.000000,0.817293,1.000000,0.156822,0.000000,0.000000,0.033888,0.752623,1.000000,0.000000,1.000000,1.000000,1.000000
0.033333,0.000000,0.000000,0.181922,1.000000,0.000000,0.351533,0.000000,0.000000,1.000000,1.000000,1.000000,0.966368,0.000000,0.029253,0.959563,1.000000,0.924382,1.000000,1.000000,0.000000,0.558566,0.785017,1.000000,0.000000,0.697647,0.025811,0.055021,1.000000,0.000000,1.000000,0.989520,1.000000,0.000000,0.018413,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.678923,0.511530,0.000000,1.000000,0.549957,0.650800,1.000000,0.531361,1.000000,0.000000,0.000000,0.744900,0.000000,0.012192,0.000000,0.000000,0.883633,0.000000,0.000000,0.000000,0.463091,0.000000,1.000000,1.000000,0.320700,0.000000,0.012497,0.000000,0.929844,1.000000,0.000000,1.000000,1.000000,0.011640,0.000000,1.000000,0.785736,1.000000,1.000000,1.000000
0.066667,0.004623,0.035190,0.915407,1.000000,0.000000,0.374805,0.000000,0.000000,0.715339,0.721940,0.843952,1.000000,0.000000,0.000000,1.000000,1.000000,0.881020,1.000000,1.000000,0.000000,0.885532,0.000000,0.000000,0.000000,0.577374,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.800947,0.000000,1.000000,1.000000,1.000000,0.705764,0.000000,0.000000,1.000000,0.281597,0.383216,0.000000,0.343293,0.544899,0.009511,0.000000,1.000000,0.000000,0.000000,0.097718,0.000000,0.000000,0.000000,0.000000,0.000000,0.537206,0.000000,1.000000,0.770115,0.205270,0.000000,0.000000,0.000000,0.963032,1.000000,0.000000,0.000000,1.000000,0.000000,0.937685,0.740414,0.000000,1.000000,1.000000,1.000000
0.100000,0.247118,1.000000,1.000000,1.000000,0.000000,0.269578,1.000000,0.216795,0.000000,1.000000,0.933490,0.900268,0.000000,0.000000,0.064189,1.000000,0.928683,0.515278,0.000000,0.000000,0.144402,0.300645,0.000000,1.000000,0.395935,0.414199,0.000000,1.000000,0.503822,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.598364,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.468280,0.000000,0.178059,0.000000,0.647514,0.253580,0.000000,0.000000,0.000000,0.000000,0.000000,0.236988,0.845210,0.000000,0.071631,0.298131,0.113510,0.050483,0.000000,0.000000,0.004936,0.173962,1.000000,0.327597,0.629992,1.000000,0.000000,0.213995,1.000000,0.902539,1.000000,1.000000,1.000000
0.133333,0.000000,0.000000,0.372852,1.000000,0.000000,0.259525,0.883596,0.172120,0.000000,0.081954,0.992681,0.961502,0.819928,0.000000,0.923476,1.000000,0.285281,0.651421,1.000000,0.300265,0.366617,0.210966,0.423117,0.000000,0.766646,0.139099,0.000000,1.000000,0.397597,1.000000,0.996122,1.000000,0.000000,0.000000,0.913001,0.000000,0.913416,1.000000,1.000000,1.000000,0.692714,0.893473,0.000000,0.408004,0.704092,0.462017,1.000000,0.996124,1.000000,0.000000,0.000000,0.865471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152793,0.923190,0.494594,0.275653,0.000000,0.000000,0.969937,1.000000,0.081228,0.000000,1.000000,0.000000,1.000000,0.652178,0.875378,0.292754,1.000000,0.000000
0.166667,0.211460,1.000000,1.000000,0.752479,0.000000,0.335829,0.000000,0.009221,0.000000,0.000000,1.000000,0.989937,0.000000,0.000000,0.000000,0.115743,0.318677,0.000000,0.000000,1.000000,0.265998,0.325461,0.000000,0.224786,0.803386,0.931050,0.218582,1.000000,0.904798,1.000000,0.990764,0.646745,0.000000,0.000000,0.806977,0.606118,0.974547,1.000000,1.000000,1.000000,0.131861,0.000000,0.000000,0.000000,0.329156,0.000000,0.957047,1.000000,0.000000,0.000000,0.217303,0.945665,0.896981,0.000000,0.000000,0.000000,0.000000,0.153277,0.000000,1.000000,0.000000,0.000000,0.000000,0.966272,0.000000,0.026011,1.000000,0.880923,0.459695,0.269437,0.337475,0.281518,0.998494,0.000000,1.000000,0.000000,0.944139,1.000000,1.000000,0.000000
0.200000,0.111735,1.000000,1.000000,1.000000,0.000000,0.225408,0.754488,0.054903,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.650145,0.883718,0.436693,0.350013,1.000000,0.289672,0.329661,0.000000,0.566786,0.776143,0.903428,0.000000,1.000000,0.918973,1.000000,0.988426,1.000000,0.039724,0.000000,0.253672,1.000000,1.000000,1.000000,1.000000,1.000000,0.139941,0.025371,0.000000,0.000000,0.145560,0.000000,0.836821,0.808902,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.906008,0.000000,0.000000,0.059216,0.815225,0.000000,0.000000,0.432297,0.000000,0.549437,1.000000,0.000000,0.322788,0.995304,0.000000,0.605672,0.000000,1.000000,1.000000,1.000000,0.889477
0.233333,0.000000,0.259857,1.000000,1.000000,0.000000,0.287466,0.242437,0.000000,0.000000,0.432942,1.000000,1.000000,0.000000,0.000000,0.000000,0.626225,0.853885,0.592178,0.522893,0.845609,0.314305,0.310382,0.000000,0.220701,0.720771,0.417024,0.000000,1.000000,0.637178,1.000000,0.984576,0.904924,0.000000,0.000000,0.275302,1.000000,0.840120,1.000000,1.000000,1.000000,0.210336,0.257627,0.000000,0.304803,0.226906,0.198799,1.000000,0.739801,0.449773,0.145793,0.000000,0.497836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.208575,0.000000,0.000000,0.320552,0.920607,0.000000,0.000000,0.000000,0.000000,0.807707,1.000000,0.000000,1.000000,0.985741,0.000000,0.000000,1.000000,0.878348,1.000000,1.000000,1.000000
0.266667,0.031885,0.722583,1.000000,0.904599,0.000000,0.322854,0.000000,0.000000,0.000000,0.275051,1.000000,1.000000,0.000000,0.000000,0.000000,0.202186,0.791938,0.572183,0.227321,1.000000,0.275224,0.336799,0.000000,0.150029,0.785018,0.483892,0.000000,1.000000,0.881399,1.000000,0.992841,0.414143,0.000000,0.000000,0.000000,1.000000,0.697716,1.000000,1.000000,1.000000,0.002165,0.000000,0.000000,0.389968,0.171384,0.108968,1.000000,0.792763,0.419791,0.272530,0.000000,0.095015,0.000000,0.000000,0.000000,0.000000,0.729164,0.000000,0.000000,1.000000,0.000000,0.000000,0.275985,0.946881,0.000000,0.000000,0.000000,0.000000,0.527347,0.032636,0.000000,1.000000,0.987204,0.000000,0.000000,1.000000,0.636359,1.000000,1.000000,1.000000
0.300000,0.153334,0.964200,1.000000,0.539855,0.000000,0.275258,0.000000,0.016290,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.225125,0.854290,0.134586,0.000000,1.000000,0.277551,0.394070,0.000000,0.523044,0.791380,0.935206,0.000000,1.000000,0.907721,1.000000,1.000000,0.964187,0.000000,0.000000,0.000000,1.000000,0.953361,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.144149,0.000000,1.000000,0.979337,0.000000,0.000000,0.133960,0.939586,0.927823,0.000000,0.000000,0.000000,0.000000,0.030301,0.000000,1.000000,0.000000,0.000000,0.000000,0.781961,0.000000,0.000000,0.649153,1.000000,0.158441,0.000000,0.000000,1.000000,1.000000,0.000000,0.407503,0.000000,0.901994,1.000000,1.000000,0.470387
