time,r_m
0.000000,0.421960
0.033333,0.520373
0.066667,0.428448
0.100000,0.423115
0.133333,0.457135
0.166667,0.427848
0.200000,0.450820
0.233333,0.430525
0.266667,0.405698
0.300000,0.417926
0.333333,0.452790
0.366667,0.427461
0.400000,0.412024
0.433333,0.441851
0.466667,0.455089
0.500000,0.462137
0.533333,0.463683
0.566667,0.456199
0.600000,0.456075
0.633333,0.456481
0.666667,0.454328
0.700000,0.454747
0.733333,0.455155
0.766667,0.454908
0.800000,0.455034
0.833333,0.454954
0.866667,0.454782
0.900000,0.454563
0.933333,0.454575
0.966667,0.454521
1.000000,0.454324
1.033333,0.454242
1.066667,0.454228
1.100000,0.454194
1.133333,0.454048
1.166667,0.454001
1.200000,0.453968
1.233333,0.453882
1.266667,0.453836
1.300000,0.453796
1.333333,0.453753
1.366667,0.453731
1.400000,0.453690
1.433333,0.453609
1.466667,0.453549
1.500000,0.453487
1.533333,0.453398
1.566667,0.453239
1.600000,0.453061
1.633333,0.453106
1.666667,0.452456
1.700000,0.451343
1.733333,0.450481
1.766667,0.448924
1.800000,0.446848
1.833333,0.445733
1.866667,0.443715
1.900000,0.438884
1.933333,0.432097
1.966667,0.431019
2.000000,0.440661
2.033333,0.441534
2.066667,0.452238
2.100000,0.466517
2.133333,0.542540
2.166667,0.564005
2.200000,0.546546
2.233333,0.505474
2.266667,0.463448
2.300000,0.477562
2.333333,0.512971
2.366667,0.506795
2.400000,0.429919
2.433333,0.430698
2.466667,0.422751
2.500000,0.424886
2.533333,0.541967
2.566667,0.551266
2.600000,0.536369
2.633333,0.494111
2.666667,0.466569
2.700000,0.462431
2.733333,0.474240
2.766667,0.426674
2.800000,0.444804
2.833333,0.453396
2.866667,0.443121
2.900000,0.426280
2.933333,0.433854
2.966667,0.438766
3.000000,0.423202
3.033333,0.413311
3.066667,0.411264
3.100000,0.378591
3.133333,0.404528
3.166667,0.447951
3.200000,0.450899
3.233333,0.453877
3.266667,0.477358
3.300000,0.501456
3.333333,0.467049
3.366667,0.442164
3.400000,0.458926
3.433333,0.523534
3.466667,0.528651
3.500000,0.497178
3.533333,0.550109
3.566667,0.519252
3.600000,0.495574
3.633333,0.514553
3.666667,0.444245
3.700000,0.356685
3.733333,0.351046
3.766667,0.338414
3.800000,0.361919
3.833333,0.444323
3.866667,0.454902
3.900000,0.463241
3.933333,0.504208
3.966667,0.486030
4.000000,0.465499
4.033333,0.420495
4.066667,0.426120
4.100000,0.424464
4.133333,0.406957
4.166667,0.426876
4.200000,0.418198
4.233333,0.409210
4.266667,0.400833
4.300000,0.408718
4.333333,0.404486
4.366667,0.402727
4.400000,0.465786
4.433333,0.497261
4.466667,0.538055
4.500000,0.545002
4.533333,0.550190
4.566667,0.550509
4.600000,0.517148
4.633333,0.509196
4.666667,0.506660
4.700000,0.506972
4.733333,0.501519
4.766667,0.507977
4.800000,0.488570
4.833333,0.479347
4.866667,0.474822
4.900000,0.486843
4.933333,0.485871
4.966667,0.442892
5.000000,0.423963
5.033333,0.446329
5.066667,0.451700
5.100000,0.429893
5.133333,0.442833
5.166667,0.435744
5.200000,0.426337
5.233333,0.467815
5.266667,0.446192
5.300000,0.429556
5.333333,0.432507
5.366667,0.418984
5.400000,0.413010
5.433333,0.423815
5.466667,0.423861
5.500000,0.420710
5.533333,0.418093
5.566667,0.417574
5.600000,0.420863
5.633333,0.425606
5.666667,0.428188
5.700000,0.429645
5.733333,0.430709
5.766667,0.435364
5.800000,0.437968
5.833333,0.439831
5.866667,0.441115
5.900000,0.441401
5.933333,0.441033
5.966667,0.440204
6.000000,0.438695
6.033333,0.438068
6.066667,0.435417
6.100000,0.434368
6.133333,0.432987
