time,work_proxy
0.000000,29.623951
0.033333,38.131126
0.066667,30.687473
0.100000,29.055576
0.133333,31.153679
0.166667,29.679958
0.200000,31.598803
0.233333,28.472488
0.266667,27.295898
0.300000,29.789879
0.333333,32.013622
0.366667,29.061398
0.400000,27.171026
0.433333,30.097252
0.466667,30.751629
0.500000,31.020016
0.533333,30.942572
0.566667,30.581167
0.600000,30.759216
0.633333,31.108036
0.666667,30.605965
0.700000,30.437321
0.733333,30.470957
0.766667,30.476233
0.800000,30.509037
0.833333,30.497866
0.866667,30.427956
0.900000,30.409195
0.933333,30.410879
0.966667,30.430033
1.000000,30.442307
1.033333,30.436630
1.066667,30.413055
1.100000,30.389126
1.133333,30.383904
1.166667,30.401646
1.200000,30.431917
1.233333,30.442295
1.266667,30.437744
1.300000,30.431280
1.333333,30.432621
1.366667,30.450306
1.400000,30.479927
1.433333,30.491085
1.466667,30.489553
1.500000,30.493698
1.533333,30.516882
1.566667,30.557625
1.600000,30.617895
1.633333,30.687454
1.666667,30.685932
1.700000,30.629829
1.733333,30.667976
1.766667,30.679722
1.800000,30.616829
1.833333,30.673405
1.866667,30.621479
1.900000,30.223604
1.933333,29.743206
1.966667,29.535110
2.000000,30.075466
2.033333,30.337543
2.066667,31.505985
2.100000,31.703758
2.133333,37.990894
2.166667,40.348961
2.200000,39.694618
2.233333,36.467182
2.266667,33.803154
2.300000,35.335941
2.333333,37.279350
2.366667,35.140144
2.400000,29.121490
2.433333,29.135674
2.466667,29.823673
2.500000,29.141205
2.533333,40.113625
2.566667,41.323475
2.600000,39.799919
2.633333,35.428413
2.666667,33.820465
2.700000,33.286255
2.733333,33.745468
2.766667,29.790440
2.800000,32.080776
2.833333,31.890446
2.866667,31.838190
2.900000,29.680910
2.933333,32.230568
2.966667,32.510532
3.000000,31.330805
3.033333,29.943459
3.066667,28.475414
3.100000,25.757900
3.133333,26.869671
3.166667,32.233578
3.200000,33.755661
3.233333,33.096809
3.266667,34.504936
3.300000,35.924164
3.333333,33.842468
3.366667,32.270710
3.400000,33.759956
3.433333,38.169579
3.466667,38.724220
3.500000,36.790184
3.533333,40.401978
3.566667,37.815514
3.600000,36.114540
3.633333,37.314331
3.666667,30.628628
3.700000,24.155025
3.733333,23.586773
3.766667,22.488403
3.800000,24.427490
3.833333,30.739441
3.866667,32.813801
3.900000,33.488686
3.933333,37.168724
3.966667,33.289780
4.000000,31.783485
4.033333,29.159956
4.066667,29.850491
4.100000,29.703442
4.133333,28.285589
4.166667,30.965971
4.200000,30.666058
4.233333,29.259449
4.266667,28.652431
4.300000,28.307758
4.333333,27.217434
4.366667,27.061914
4.400000,32.907639
4.433333,36.122162
4.466667,37.731216
4.500000,39.046326
4.533333,39.545921
4.566667,39.652321
4.600000,36.161560
4.633333,36.163864
4.666667,35.247005
4.700000,36.492950
4.733333,36.455231
4.766667,36.807709
4.800000,34.480011
4.833333,33.714233
4.866667,33.335773
4.900000,33.757111
4.933333,33.059292
4.966667,31.005255
5.000000,29.527195
5.033333,30.239189
5.066667,30.687265
5.100000,28.081192
5.133333,30.958231
5.166667,30.611641
5.200000,30.227518
5.233333,33.474144
5.266667,31.363068
5.300000,29.785334
5.333333,30.100916
5.366667,29.366192
5.400000,28.685137
5.433333,29.473286
5.466667,29.528383
5.500000,29.290092
5.533333,29.280981
5.566667,29.205063
5.600000,29.426811
5.633333,29.800732
5.666667,30.020712
5.700000,30.158813
5.733333,30.267963
5.766667,30.696087
5.800000,31.007715
5.833333,31.257854
5.866667,31.441374
5.900000,31.539795
5.933333,31.552656
5.966667,31.540081
6.000000,31.483091
6.033333,31.568920
6.066667,31.478573
6.100000,31.508915
6.133333,31.482792
