time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.000000,0.045204,0.035175,1.000000,1.000000,0.000000,0.644216,0.000000,0.054786,1.000000,1.000000,0.000000,0.000000,0.182608,0.165891,1.000000,0.000000,0.186990,0.945021,1.000000,0.505386,0.206253,0.000000,0.000000,0.000000,0.707578,0.003496,0.033422,1.000000,0.170410,1.000000,0.775472,0.000000,0.000000,0.013672,0.849436,1.000000,0.000000,1.000000,1.000000,1.000000,0.309513,0.000000,0.000000,1.000000,0.000000,0.241621,0.000000,0.195634,1.000000,0.000000,0.000000,0.000000,0.206389,0.189024,1.000000,0.000000,0.000000,1.000000,1.000000,0.381491,0.499222,0.000000,1.000000,0.295891,0.069958,0.027520,0.050687,1.000000,0.802873,1.000000,0.202560,0.000000,0.000000,0.028465,0.748786,1.000000,0.000000,1.000000,1.000000,1.000000
0.033333,0.000000,0.000000,0.108337,1.000000,0.000000,0.330986,0.000000,0.000000,1.000000,1.000000,1.000000,0.956922,0.000000,0.034606,0.891271,1.000000,0.931097,0.966333,1.000000,0.000000,0.537782,0.735200,0.893155,0.000000,0.710447,0.029608,0.059137,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.026958,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.690942,0.598465,0.000000,1.000000,0.454941,0.566302,1.000000,0.471382,1.000000,0.000000,0.000000,0.703026,0.000000,0.000000,0.000000,0.000000,0.869701,0.000000,0.000000,0.000000,0.452819,0.000000,1.000000,1.000000,0.332991,0.000000,0.000000,0.000000,0.954867,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.835702,1.000000,1.000000,1.000000
0.066667,0.002298,0.030222,0.737159,1.000000,0.000000,0.310609,0.277763,0.000000,0.540038,0.714697,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.894229,1.000000,1.000000,0.000000,0.821527,0.000000,1.000000,0.000000,0.598798,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.940098,0.000000,0.000000,1.000000,0.761846,0.967550,1.000000,1.000000,1.000000,0.718731,0.525112,0.000000,0.525069,0.428736,0.385714,0.000000,0.525507,0.611608,0.034800,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.405897,0.000000,1.000000,0.871635,0.394504,0.000000,0.000000,0.000000,0.968733,1.000000,0.000000,0.000000,1.000000,0.000000,0.952751,0.723815,0.801408,1.000000,1.000000,1.000000
0.100000,0.224941,0.995803,1.000000,1.000000,0.000000,0.317655,1.000000,0.114691,0.000000,1.000000,0.886108,0.858967,0.000000,0.003675,0.000000,1.000000,0.931504,0.538081,0.000000,0.645467,0.126786,0.372403,0.000000,1.000000,0.468551,0.387247,0.000000,1.000000,0.659778,1.000000,1.000000,1.000000,1.000000,0.006140,0.000000,1.000000,0.486380,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.511839,0.000000,0.030466,0.000000,0.360235,0.037003,0.000000,0.000000,0.000000,0.000000,0.000000,0.339487,1.000000,0.000000,0.065515,0.368364,0.000000,0.000000,0.000000,0.000000,0.216725,0.008313,1.000000,0.000000,0.785254,1.000000,0.000000,0.000000,1.000000,0.909064,1.000000,1.000000,1.000000
0.133333,0.000000,0.000000,0.046289,1.000000,0.000000,0.284984,0.923058,0.029666,0.000000,0.978165,0.948861,0.915359,0.090608,0.000000,0.794494,1.000000,0.566571,0.639543,1.000000,0.000000,0.365944,0.333206,0.465150,0.000000,0.702578,0.000000,0.000000,1.000000,0.000000,1.000000,0.987479,1.000000,0.000000,0.000000,0.898880,0.000000,0.867831,1.000000,1.000000,1.000000,0.693478,0.889716,0.000000,0.961900,0.625033,0.436939,1.000000,0.854492,1.000000,0.000000,0.000000,0.887500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010644,0.000000,0.369396,0.949233,0.519105,0.150454,0.000000,0.000000,0.974607,1.000000,0.000000,0.604080,1.000000,0.000000,0.402326,1.000000,0.907826,1.000000,1.000000,0.715404
0.166667,0.000000,0.989565,1.000000,1.000000,0.000000,0.442273,0.489166,0.306892,0.000000,0.000000,0.987814,0.978808,0.907418,0.000000,0.000000,0.709578,0.000000,0.242640,0.263924,1.000000,0.372690,0.353590,0.099301,0.328616,0.691790,0.716125,0.000000,1.000000,0.900669,1.000000,0.997917,0.945451,0.000000,0.000000,0.805837,0.000000,0.956857,1.000000,1.000000,1.000000,0.504883,0.530650,0.344373,0.000000,0.719654,0.094509,1.000000,1.000000,1.000000,0.000000,0.213224,0.907696,0.954421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.684564,0.000000,0.345296,1.000000,0.495802,0.708568,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.954946,0.978155,1.000000,0.000000
0.200000,0.000000,1.000000,1.000000,1.000000,0.000000,0.317646,0.355638,0.142573,0.000000,0.000000,1.000000,1.000000,0.003050,0.000000,0.000000,0.664988,0.641351,0.409762,0.381015,1.000000,0.369482,0.380409,0.000000,0.360290,0.793384,0.864249,0.000000,1.000000,0.911476,1.000000,0.990747,1.000000,0.000000,0.000000,0.458307,0.000000,1.000000,1.000000,1.000000,1.000000,0.334744,0.335280,0.000000,0.000000,0.415622,0.000000,1.000000,0.973618,0.321513,0.000000,0.000000,0.996548,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.938758,0.000000,0.127920,0.878978,0.059944,0.666956,1.000000,0.000000,0.249820,0.995566,0.000000,0.694202,0.000000,1.000000,1.000000,1.000000,0.000000
0.233333,0.000000,0.371306,1.000000,1.000000,0.000000,0.275337,0.562102,0.000000,0.000000,0.088072,1.000000,1.000000,0.000000,0.000000,0.000000,0.834166,0.871012,0.602929,0.575189,0.884894,0.364218,0.357910,0.000000,0.383809,0.722105,0.510192,0.000000,1.000000,0.767861,1.000000,0.987706,1.000000,0.000000,0.000000,0.241249,0.883202,1.000000,1.000000,1.000000,1.000000,0.270092,0.388671,0.000000,0.000000,0.227407,0.100607,1.000000,0.779199,0.382633,0.000000,0.000000,0.947902,0.282078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.239707,0.000000,0.000000,0.202641,0.949125,0.000000,0.000000,0.000000,0.000000,0.811725,1.000000,0.000000,0.876389,0.998388,0.000000,0.000000,0.540170,1.000000,1.000000,1.000000,1.000000
0.266667,0.000000,0.000000,0.825114,1.000000,0.000000,0.311068,0.109845,0.000000,0.000000,0.301721,1.000000,1.000000,0.000000,0.000000,0.000000,0.747841,0.718930,0.625071,0.619632,0.572913,0.376493,0.365149,0.016131,0.130010,0.718587,0.330621,0.000000,1.000000,0.638089,1.000000,0.993031,0.887592,0.000000,0.000000,0.457061,0.762755,1.000000,1.000000,1.000000,1.000000,0.395346,0.659688,0.000000,0.329598,0.338938,0.220857,1.000000,0.809071,0.808854,0.078468,0.000000,0.794897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238363,0.967697,0.000000,0.000000,0.000000,0.000000,0.987236,1.000000,0.000000,1.000000,0.994925,0.000000,0.000000,0.805936,1.000000,1.000000,1.000000,1.000000
0.300000,0.000000,0.867106,1.000000,1.000000,0.000000,0.257548,0.616240,0.041302,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.778785,0.866564,0.584454,0.370051,1.000000,0.373100,0.389522,0.000000,0.522680,0.795873,0.715309,0.000000,1.000000,0.907124,1.000000,1.000000,1.000000,0.000000,0.000000,0.083873,0.916099,0.956691,1.000000,1.000000,1.000000,0.202804,0.223791,0.000000,0.000000,0.200313,0.000000,1.000000,0.837635,0.066013,0.000000,0.000000,0.986996,0.897796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.883030,0.000000,0.000000,0.041017,0.940873,0.000000,0.000000,0.233709,0.000000,0.602245,1.000000,0.000000,0.818166,1.000000,0.000000,0.146733,0.000000,0.982710,1.000000,1.000000,1.000000
