time,r_m
0.000000,0.422183
0.033333,0.514287
0.066667,0.480886
0.100000,0.420705
0.133333,0.472385
0.166667,0.486546
0.200000,0.450423
0.233333,0.441000
0.266667,0.436719
0.300000,0.451327
0.333333,0.457261
0.366667,0.455743
0.400000,0.449435
0.433333,0.453664
0.466667,0.457257
0.500000,0.454544
0.533333,0.451744
0.566667,0.451904
0.600000,0.452224
0.633333,0.451108
0.666667,0.450895
0.700000,0.451338
0.733333,0.451294
0.766667,0.451252
0.800000,0.451112
0.833333,0.451394
0.866667,0.451312
0.900000,0.451208
0.933333,0.451188
0.966667,0.451279
1.000000,0.451271
1.033333,0.450701
1.066667,0.450833
1.100000,0.450937
1.133333,0.450724
1.166667,0.450664
1.200000,0.450696
1.233333,0.450373
1.266667,0.450407
1.300000,0.450541
1.333333,0.450421
1.366667,0.450042
1.400000,0.450137
1.433333,0.450103
1.466667,0.449921
1.500000,0.449825
1.533333,0.449727
1.566667,0.449844
1.600000,0.449404
1.633333,0.448489
1.666667,0.447214
1.700000,0.443790
1.733333,0.440108
1.766667,0.437309
1.800000,0.435524
1.833333,0.434743
1.866667,0.434196
1.900000,0.431339
1.933333,0.427582
1.966667,0.424007
2.000000,0.424773
2.033333,0.433155
2.066667,0.446524
2.100000,0.487722
2.133333,0.561806
2.166667,0.527035
2.200000,0.530430
2.233333,0.494013
2.266667,0.462764
2.300000,0.488752
2.333333,0.491959
2.366667,0.409764
2.400000,0.443073
2.433333,0.444330
2.466667,0.435134
2.500000,0.454142
2.533333,0.475959
2.566667,0.518529
2.600000,0.535559
2.633333,0.485894
2.666667,0.473235
2.700000,0.471685
2.733333,0.472117
2.766667,0.454118
2.800000,0.418550
2.833333,0.363884
2.866667,0.383854
2.900000,0.400124
2.933333,0.404910
2.966667,0.357737
3.000000,0.332263
3.033333,0.332940
3.066667,0.356960
3.100000,0.392797
3.133333,0.371522
3.166667,0.393591
3.200000,0.380181
3.233333,0.421983
3.266667,0.435376
3.300000,0.432109
3.333333,0.526539
3.366667,0.486204
3.400000,0.437050
3.433333,0.491520
3.466667,0.548481
3.500000,0.503600
3.533333,0.476173
3.566667,0.509348
3.600000,0.539266
3.633333,0.456122
3.666667,0.465357
3.700000,0.516865
3.733333,0.492251
3.766667,0.406391
3.800000,0.390122
3.833333,0.358092
3.866667,0.382613
3.900000,0.356499
3.933333,0.404743
3.966667,0.426983
4.000000,0.379822
4.033333,0.383965
4.066667,0.423411
4.100000,0.429400
4.133333,0.376805
4.166667,0.452370
4.200000,0.427686
